NAME,RADIUS,GM,ID,J2,COMMENT
Euanthe,1500,3e3,533,0,Moon of Jupiter. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Euporie,1000,1e3,534,0,Moon of Jupiter. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Orthosie,1000,1e3,535,0,Moon of Jupiter. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Sponde,1000,1e3,536,0,Moon of Jupiter. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Kale,1000,1e3,537,0,Moon of Jupiter. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Pasithee,1000,1e3,538,0,Moon of Jupiter. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Hegemone,1500,3e3,539,0,Moon of Jupiter. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Mneme,1000,1e3,540,0,Moon of Jupiter. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Aoede,2000,6e3,541,0,Moon of Jupiter. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Thelxinoe,1000,1e3,542,0,Moon of Jupiter. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Arche,1500,3e3,543,0,Moon of Jupiter. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Kallichore,1000,1e3,544,0,Moon of Jupiter. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Helike,2000,6e3,545,0,Moon of Jupiter. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Carpo,1500,3e3,546,0,Moon of Jupiter. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Eukelade,2000,6e3,547,0,Moon of Jupiter. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Cyllene,1000,1e3,548,0,Moon of Jupiter. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Kore,1000,1e3,549,0,Moon of Jupiter. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Herse,1000,1e3,550,0,Moon of Jupiter. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Mimas,198800,2.50345819993143e9,601,0,Moon of Saturn. Source: NASA/JPL Horizons
Enceladus,252300,7.21118506650989e9,602,0,Moon of Saturn. Source: NASA/JPL Horizons
Tethys,533000,4.12085650865853e10,603,0,Moon of Saturn. Source: NASA/JPL Horizons
Dione,561700,7.31157421894742e10,604,0,Moon of Saturn. Source: NASA/JPL Horizons
Rhea,764300,1.53941903593312e11,605,0,Moon of Saturn. Source: NASA/JPL Horizons
Iapetus,735600,8.97813703098354e12,606,0,Moon of Saturn. Source: NASA/JPL Horizons
Titan,2575500,3.71208575447241e10,607,0,Moon of Saturn. Source: NASA/JPL Horizons
Hyperion,135000,1.20509575238887e11,608,0,Moon of Saturn. Source: NASA/JPL Horizons
Phoebe,106500,5.53237128537641e8,609,0,Moon of Saturn. Source: NASA/JPL Horizons
Janus,89500,1.2657650990122e8,610,0,Moon of Saturn. Source: NASA/JPL Horizons
Epimetheus,58100,3.51233328820807e7,611,0,Moon of Saturn. Source: NASA/JPL Horizons
Helene,17600,3.42482944750298e5,612,0,Moon of Saturn. Source: NASA/JPL Horizons
Telesto,17600,2.7e5,613,0,Moon of Saturn. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Calypso,10700,1.7e5,614,0,Moon of Saturn. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Atlas,15100,3.71887124751647e5,615,0,Moon of Saturn. Source: NASA/JPL Horizons
Prometheus,43100,1.07520800100761e7,616,0,Moon of Saturn. Source: NASA/JPL Horizons
Pandora,40700,9.2903251220288e6,617,0,Moon of Saturn. Source: NASA/JPL Horizons
Pan,14100,3.3e5,618,0,Moon of Saturn. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Methone,1600,6e2,619,0,Moon of Saturn. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Charon,603600,1.06250926952203e11,901,0,Moon of Pluto. Source: NASA/JPL Horizons
